timestamp,gate_id,facility_type,inlet_node,outlet_node,status,setting,flow_cms
2017-06-29 00:30:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 00:30:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 00:30:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 00:30:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 00:30:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 00:30:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 00:30:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 00:30:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 00:30:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 00:30:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 00:30:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 00:30:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 00:30:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 00:30:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 00:30:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 00:30:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 00:30:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 00:30:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 00:30:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 00:30:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,4.8575480160487656e-06
2017-06-29 00:30:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 00:30:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 00:45:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0010364791155660902
2017-06-29 00:45:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 00:45:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 00:45:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 00:45:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 00:45:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 00:45:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 00:45:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 00:45:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 00:45:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 00:45:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 00:45:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 00:45:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 00:45:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 00:45:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 00:45:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 00:45:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 00:45:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 00:45:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 00:45:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 00:45:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,5.140273406524843e-05
2017-06-29 00:45:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 00:45:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:00:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.001819728506472115
2017-06-29 01:00:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 01:00:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 01:00:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 01:00:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:00:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:00:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 01:00:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 01:00:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 01:00:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 01:00:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 01:00:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 01:00:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 01:00:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 01:00:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:00:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:00:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:00:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:00:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 01:00:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 01:00:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.00010767005015474909
2017-06-29 01:00:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:00:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:15:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.002130713470102491
2017-06-29 01:15:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 01:15:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 01:15:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 01:15:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:15:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:15:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 01:15:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 01:15:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 01:15:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 01:15:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 01:15:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 01:15:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 01:15:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 01:15:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:15:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:15:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:15:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:15:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 01:15:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 01:15:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.00022908310644897096
2017-06-29 01:15:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:15:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:30:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.002245087427165744
2017-06-29 01:30:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 01:30:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 01:30:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 01:30:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:30:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:30:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 01:30:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 01:30:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 01:30:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 01:30:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 01:30:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 01:30:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 01:30:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 01:30:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:30:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:30:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:30:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:30:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 01:30:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 01:30:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0002806548452853712
2017-06-29 01:30:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:30:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:45:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0023253297153536744
2017-06-29 01:45:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 01:45:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 01:45:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 01:45:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:45:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 01:45:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 01:45:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 01:45:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 01:45:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 01:45:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 01:45:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 01:45:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 01:45:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 01:45:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:45:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 01:45:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:45:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 01:45:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 01:45:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 01:45:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.00028124749695689505
2017-06-29 01:45:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 01:45:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:00:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0023497292362593732
2017-06-29 02:00:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 02:00:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 02:00:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 02:00:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:00:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:00:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 02:00:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 02:00:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 02:00:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 02:00:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 02:00:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 02:00:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 02:00:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 02:00:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:00:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:00:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:00:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:00:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 02:00:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 02:00:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0002710428065252062
2017-06-29 02:00:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:00:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:15:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.002334453933324571
2017-06-29 02:15:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 02:15:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 02:15:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 02:15:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:15:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:15:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 02:15:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 02:15:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 02:15:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 02:15:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 02:15:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 02:15:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 02:15:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 02:15:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:15:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:15:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:15:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:15:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 02:15:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 02:15:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.00016932906761389562
2017-06-29 02:15:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:15:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:30:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0022372293381224414
2017-06-29 02:30:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 02:30:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 02:30:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 02:30:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:30:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:30:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 02:30:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 02:30:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 02:30:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 02:30:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 02:30:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 02:30:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 02:30:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 02:30:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:30:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:30:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:30:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:30:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 02:30:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 02:30:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,3.3227799475460035e-05
2017-06-29 02:30:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:30:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:45:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.0021753869978674814
2017-06-29 02:45:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 02:45:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 02:45:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 02:45:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:45:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 02:45:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 02:45:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 02:45:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 02:45:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 02:45:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 02:45:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 02:45:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 02:45:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 02:45:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:45:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 02:45:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:45:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 02:45:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 02:45:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 02:45:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,2.6752519806164597e-05
2017-06-29 02:45:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 02:45:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 03:00:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.002151292340688324
2017-06-29 03:00:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 03:00:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 03:00:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 03:00:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 03:00:00,G71F05R_skylw1,weir,G71F05R_skyl,G71F05R,open,1.0,0.0
2017-06-29 03:00:00,G71F06Rw1,weir,G71F06R,G71F06R_ovl,open,1.0,0.0
2017-06-29 03:00:00,G71F090w1,weir,G71F090,G71F04R,open,1.0,0.0
2017-06-29 03:00:00,G71F12Pw1,orifice,G71F12P,G71O020,open,1.0,0.0
2017-06-29 03:00:00,G71F68Yout1,outlet,G71F68Y,G71R050,open,1.0,0.0
2017-06-29 03:00:00,G72K020w1,weir,G72K020,G71F05R_skyl,open,1.0,0.0
2017-06-29 03:00:00,G72R150_G74F150_l1,outlet,G72R150,G74F150,open,1.0,0.0
2017-06-29 03:00:00,G72R33Bout1,outlet,G72R33B,G72R33Bb,open,1.0,0.0
2017-06-29 03:00:00,G72R33Bw1,weir,G72R33B,G72R642,open,1.0,0.0
2017-06-29 03:00:00,G72R34R_vandbremse,outlet,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 03:00:00,G72R34Rw1,weir,G72R34R,G72R34X,open,1.0,0.0
2017-06-29 03:00:00,G72R520_l1_vandbremse,outlet,G72R520,G72R52X,open,1.0,0.0
2017-06-29 03:00:00,G72R520w1,weir,G72R520,G72R52X,open,1.0,0.0
2017-06-29 03:00:00,G75F65Yw1,weir,G75F65Y,G75F65X,open,1.0,0.0
2017-06-29 03:00:00,G80F11Bw1,weir,G80F11B,G80O010,open,1.0,0.0
2017-06-29 03:00:00,G80F310_G80F13P_l1,outlet,G80F310,G80F13P,open,1.0,0.0
2017-06-29 03:00:00,G80F66Yw1,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 03:00:00,G80F66Yw2,weir,G80F66Y,G80F66X,open,1.0,0.0
2017-06-29 03:15:00,G60F60Y_G60F070_l1,outlet,G60F60Y,G60F070,open,1.0,0.00205871920316997
2017-06-29 03:15:00,G60F60Yw1,weir,G60F60Y,G60F60X,open,1.0,0.0
2017-06-29 03:15:00,G60F61Yo1,orifice,G60F61Y,G60O361,open,1.0,0.0
2017-06-29 03:15:00,G70F62Yw1,weir,G70F62Y,G70F62X,open,1.0,0.0
2017-06-29 03:15:00,G71F05R_skylo1,orifice,G71F05R_skyl,G71F05R,open,1.0,0.0
